Generation,Best_Score,Average_Score,Worst_Score,Best_Length,Average_Length,Worst_Length
101,-4.234375,-4.73484375,-5.34375,2.390625,2.16,2.03125
102,-3.828125,-4.309375,-5.09375,2.390625,2.200234375,2.046875
103,-4.484375,-4.944140625,-5.375,2.421875,2.149375,2.03125
104,-4.078125,-4.451953125,-5.375,2.328125,2.17609375,2.046875
105,-3.859375,-4.324921875,-4.84375,2.328125,2.138203125,2.0
106,-4.03125,-4.344609375,-4.9375,2.265625,2.1253125,2.015625
107,-4.234375,-4.80609375,-5.359375,2.34375,2.14609375,2.03125
108,-3.28125,-3.601328125,-4.28125,2.265625,2.10171875,2.015625
109,-4.75,-5.093046875,-5.65625,2.359375,2.16375,2.0
110,-4.59375,-5.1346875,-5.703125,2.40625,2.170625,2.03125
111,-4.03125,-4.43484375,-5.203125,2.40625,2.16671875,2.015625
112,-3.328125,-3.734140625,-4.375,2.375,2.1296875,2.015625
113,-4.59375,-4.940078125,-5.84375,2.390625,2.108203125,2.015625
114,-4.953125,-5.3209375,-5.984375,2.265625,2.10421875,2.0
115,-3.90625,-4.33421875,-4.859375,2.4375,2.178203125,2.015625
116,-3.1875,-3.770546875,-5.015625,2.234375,2.109453125,2.015625
117,-4.59375,-4.957890625,-5.484375,2.40625,2.21703125,2.03125
118,-4.71875,-5.087265625,-5.640625,2.375,2.158203125,2.046875
119,-4.15625,-4.851953125,-5.671875,2.34375,2.157578125,2.046875
120,-3.546875,-4.002890625,-4.875,2.296875,2.14015625,2.0625
121,-3.21875,-3.646328125,-4.375,2.296875,2.116328125,2.03125
122,-4.40625,-4.79921875,-5.359375,2.234375,2.13140625,2.03125
123,-3.84375,-4.428125,-5.0,2.3125,2.141875,2.046875
124,-4.453125,-4.973203125,-5.765625,2.375,2.173984375,2.0625
125,-3.84375,-4.4778125,-5.140625,2.40625,2.2253125,2.109375
126,-4.34375,-4.897421875,-5.640625,2.484375,2.197734375,2.03125
127,-4.65625,-5.1078125,-5.703125,2.359375,2.17203125,2.0625
128,-4.796875,-5.415625,-6.140625,2.359375,2.20109375,2.078125
129,-4.203125,-4.644375,-5.203125,2.5,2.2725,2.09375
130,-4.53125,-5.116171875,-5.78125,2.5625,2.272265625,2.078125
131,-4.015625,-4.565546875,-5.34375,2.5,2.235546875,2.09375
132,-4.125,-4.539609375,-5.46875,2.328125,2.121796875,2.0
133,-4.046875,-4.55484375,-5.28125,2.328125,2.13390625,2.03125
134,-3.6875,-4.038046875,-4.5,2.453125,2.179296875,2.046875
135,-3.1875,-3.58484375,-4.390625,2.515625,2.247890625,2.109375
136,-3.84375,-4.32171875,-5.390625,2.578125,2.22484375,2.0625
137,-4.046875,-4.61046875,-5.28125,2.421875,2.243359375,2.125
138,-3.234375,-3.657421875,-4.40625,2.34375,2.20015625,2.078125
139,-3.90625,-4.32671875,-4.78125,2.3125,2.183125,2.078125
140,-3.734375,-4.14984375,-4.671875,2.375,2.218046875,2.09375
141,-4.296875,-4.82671875,-5.578125,2.421875,2.2325,2.09375
142,-3.9375,-4.398203125,-4.90625,2.421875,2.26359375,2.125
143,-3.609375,-4.226796875,-4.75,2.640625,2.313359375,2.15625
144,-4.703125,-5.258203125,-5.84375,2.421875,2.219609375,2.078125
145,-4.78125,-5.145,-5.703125,2.28125,2.16609375,2.09375
146,-4.078125,-4.654765625,-5.25,2.421875,2.243359375,2.078125
147,-3.796875,-4.198203125,-4.8125,2.34375,2.21078125,2.0625
148,-3.046875,-3.502109375,-4.328125,2.3125,2.13890625,2.046875
149,-3.671875,-4.15203125,-4.765625,2.359375,2.21796875,2.078125
150,-4.46875,-4.80671875,-5.390625,2.421875,2.19125,2.046875
