Generation,Best_Score,Average_Score,Worst_Score,Best_Length,Average_Length,Worst_Length
527,-11.377316746165882,-13.051031695578528,-17.293113999564568,3.25,2.6822916666666665,2.0625
528,-13.642403927700503,-14.714085051089238,-16.680712003822784,3.03125,2.6127604166666667,2.15625
529,-11.975643592776363,-13.49219317496076,-16.14734866716834,3.015625,2.62890625,2.0625
530,-10.247840687132575,-11.85144074322937,-36.27633130494173,3.75,2.6241145833333333,2.171875
531,-14.488920891287643,-15.773404969070937,-18.32160731816333,3.03125,2.64578125,2.046875
532,-14.397831921561034,-15.745404506139815,-19.36340604415455,3.21875,2.71421875,2.0
533,-12.87917675046009,-14.112792363129138,-17.991086349548887,3.1875,2.7355729166666665,2.171875
534,-11.077071432702756,-12.687684469507436,-16.912376791157826,3.8125,2.6754166666666666,2.140625
535,-8.666697571763692,-10.27735296282236,-19.28993644725986,3.859375,2.6054166666666667,2.0625
536,-10.879972767931472,-11.849642208265434,-14.260364710768814,3.03125,2.6683333333333334,2.15625
537,-9.493269356483772,-10.537920042516536,-15.232857337654993,3.125,2.7484895833333334,2.265625
538,-10.121813791213656,-12.066528144315681,-15.266889074929237,3.46875,2.6403125,2.15625
539,-10.805609050995995,-11.849752361655872,-15.05108744686128,3.5,2.7334895833333333,2.171875
540,-13.110185719729945,-14.51771270916659,-22.893584766375664,3.390625,2.69125,2.296875
541,-11.695178162867853,-13.066482609388405,-20.48601216755087,3.078125,2.5121354166666667,2.046875
542,-11.973959110285573,-13.467015540183143,-16.768228797389543,3.0625,2.6646875,2.015625
543,-10.993074627105736,-13.297981886032284,-23.68940415080454,4.53125,2.7275,2.328125
544,-10.186498359664999,-11.476322839431111,-14.993116402510404,3.109375,2.7890104166666667,2.234375
545,-12.03679875915827,-13.211784941322415,-15.805460521979617,3.171875,2.70953125,2.078125
546,-14.290127582695636,-15.665582386585275,-25.383875937119843,3.96875,2.7011458333333334,2.046875
547,-9.974147066712844,-11.530585895556854,-17.079586073011374,3.265625,2.59578125,2.078125
548,-11.733287860651801,-12.869098025077635,-16.26983444563688,3.375,2.588125,2.046875
549,-12.534125206322615,-14.021089794263643,-16.49719724757367,3.40625,2.6697395833333335,2.015625
550,-12.913977661128751,-14.165146343411323,-18.598500824474765,3.703125,2.6227604166666665,2.109375
551,-16.007613253713206,-17.374159494142358,-20.223038267160916,3.234375,2.72515625,2.171875
552,-13.311223163253048,-14.86785217736305,-23.54894815865817,3.375,2.7129166666666666,2.15625
553,-15.722536521148786,-16.862581538900265,-19.847146148153293,3.296875,2.72296875,2.21875
554,-12.98259163648337,-14.354883655039808,-17.013078549305447,3.109375,2.6467708333333335,2.1875
555,-13.05762426999574,-13.947084604879743,-18.29756917537094,3.234375,2.6771875,2.1875
556,-10.89313597827517,-12.544892907589464,-15.269795115688675,3.234375,2.7975,2.359375
557,-12.615096994763773,-13.622633782907123,-15.80684076849278,3.1875,2.7583333333333333,2.375
558,-10.771108345362128,-12.546062666636098,-15.590692854513481,3.234375,2.6788541666666665,2.171875
559,-9.724138212269935,-11.055903149832181,-17.400151727378496,3.125,2.6477083333333336,2.0625
560,-11.515451374600897,-12.60918018370213,-16.240299689788266,3.140625,2.69796875,2.078125
561,-10.229053260099057,-11.49110713235897,-14.088063134599446,3.0,2.62609375,2.15625
562,-12.513589287838654,-13.261091187774143,-20.36173483170948,3.734375,2.7747395833333335,2.328125
563,-12.300592858350317,-13.5687788503906,-17.175991564369014,3.421875,2.6553645833333333,2.328125
